,RankingMSELoss,MSELoss,mean
100,0.2510360005227002,0.2510360005227002,0.2510360005227002
100,0.005468084646219557,0.00545231235975569,0.005460198502987623
100,0.1485678025267341,0.1482463302937421,0.1484070664102381
100,0.17554238845001569,0.1749727807261727,0.1752575845880942
100,0.14919274087463105,0.14862468519381114,0.1489087130342211
100,0.1936775626880782,0.18976409413984843,0.19172082841396332
100,0.15452873281070165,0.15122714000088827,0.15287793640579495
100,0.15577045295919692,0.15133552998304367,0.15355299147112028
100,0.15114655984299524,0.14961434581450053,0.1503804528287479
100,0.17213205354554312,0.1606662379843848,0.16639914576496395
100,0.4167520041976656,0.4167520041976656,0.4167520041976656
124,0.4140244850090572,0.4140244850090572,0.4140244850090572
100,0.22267643681594304,0.19853653758764267,0.21060648720179287
124,0.17006715067795344,0.15902201405593328,0.16454458236694336
200,0.1554237934095519,0.15074878079550608,0.15308628710252897
248,0.15119210417781556,0.14898157439061574,0.15008683928421565
300,0.15195558113711222,0.15018637371914728,0.15107097742812975
372,0.1522338507430894,0.15099712567670004,0.15161548820989473
400,0.15086751750537328,0.14920563995838165,0.15003657873187748
496,0.15006131678819656,0.14926293811627797,0.14966212745223728
500,0.1491426325270108,0.14841988682746887,0.14878125967723982
600,0.1485656425356865,0.1480552777647972,0.14831046015024185
620,0.15009419726473944,0.14951687093291963,0.14980553409882952
700,0.14915107509919576,0.1487743929028511,0.14896273400102344
744,0.14926943608692714,0.14891585601227625,0.1490926460496017
800,0.14953854892935073,0.14908536417143686,0.1493119565503938
868,0.14970586342470987,0.14932157205683844,0.14951371774077415
900,0.14893082209995814,0.14857383923871176,0.14875233066933496
992,0.14973287603684834,0.14922434198004858,0.14947860900844845
1000,0.15083747782877513,0.15033235613788878,0.15058491698333196
1100,0.14918979895966394,0.14881674838917597,0.14900327367441996
1116,0.14870685977595194,0.14835919333355768,0.1485330265547548
1200,0.1498592815228871,0.1495014461023467,0.1496803638126169
1240,0.14903218405587332,0.14866373475108827,0.14884795940348078
1300,0.1493702850171498,0.14898261427879333,0.14917644964797155
1364,0.1488954180053302,0.14863415381738118,0.1487647859113557
1400,0.14948887271540506,0.1491322357739721,0.1493105542446886
1488,0.1497784693326269,0.14943681763751165,0.14960764348506927
1500,0.15302621998957225,0.15271181081022536,0.1528690153998988
1600,0.14905801841190883,0.14855327776500157,0.1488056480884552
1612,0.1498587110212871,0.14947892619030817,0.14966881860579762
1700,0.14888621121644974,0.14857804349490575,0.14873212735567776
1736,0.15164762416056224,0.15138345956802368,0.15151554186429295
1800,0.1488219095127923,0.14844778605869838,0.14863484778574534
1860,0.14891558566263743,0.1486546045967511,0.14878509512969426
1900,0.14883768877812795,0.1485873662999698,0.14871252753904887
1984,0.1495164441210883,0.14930229634046555,0.14940937023077694
2000,0.14917481797082083,0.1489642368895667,0.14906952743019375
2100,0.14875340035983495,0.1485433748790196,0.14864838761942728
2108,0.14866722800901958,0.14845891722611018,0.14856307261756488
2200,0.14912313329321997,0.14892957998173578,0.14902635663747787
2232,0.14898328908852168,0.14875770253794535,0.14887049581323353
2300,0.150611974298954,0.15037257224321365,0.15049227327108383
2356,0.1518047164593424,0.15152647984879358,0.151665598154068
2400,0.14930277743509837,0.14885494858026505,0.1490788630076817
2480,0.1503424612539155,0.1499845917735781,0.15016352651374681
2500,0.152364581823349,0.15199254346745356,0.15217856264540128
2600,0.14940535490001952,0.14890498774392263,0.1491551713219711
2604,0.1498077799166952,0.14938866666385106,0.1495982232902731
2700,0.14915429268564498,0.14873167553118297,0.14894298410841397
